track_name,artist_name,popularity,danceability,energy,key,loudness,acousticness,liveness,duration_ms,streaming_count,duration_minutes
It's ok I'm ok,Tate McRae,85,0.6816235857068178,-0.7346222227951827,1,-0.30513327692873754,-0.8917761348995333,-0.7580470676490985,156522,880000,2.6087
High Road,Zach Bryan,75,-1.2104289710395373,-2.3607662180109132,4,-1.1870788528813148,2.2225718847967886,-0.05944799984810525,199893,850000,3.33155
Saturn,SZA,85,-1.6034962275467026,-0.13551654034728225,1,-0.06857877863120616,1.4531586530208065,-0.5343728047128155,186192,850000,3.1032
Coincidence,Sabrina Carpenter,83,-1.556861129317039,0.9828140668887986,9,0.09623596764599132,0.4351657617479684,-0.41947164224554684,164203,860000,2.7367166666666667
Big Dawgs,Hanumankind,86,-1.2504019123792487,0.5834102785901985,4,0.9000412189072757,-0.9004566944375189,1.4036268022351153,190667,830000,3.177783333333333
LA PATRULLA,Peso Pluma,86,0.4684345652283551,0.5548814365688699,6,-0.17152132242246557,1.6899011858749553,-0.028807689856833588,130615,780000,2.1769166666666666
Too Sweet,Hozier,78,0.5950155461374423,-0.12981077194301652,10,0.2858529330231557,-0.8767824411521039,-1.0721102450596327,251424,780000,4.1904
Type Shit,Future,84,-0.07786229974770492,-0.5178030234330852,2,0.23944878115870188,-0.9083481121993238,-0.4654321072324543,228267,840000,3.80445
I Never Lie,Zach Top,77,0.8681639786254727,-0.009989635453436303,3,0.03889750413531581,0.3167944953208943,-0.5496929597084513,224907,860000,3.74845
Guess featuring billie eilish,Charli xcx,85,0.8281910372857609,0.13836034305747255,7,-0.012040386704400573,-0.9355735034775507,-0.7940494318888426,145219,800000,2.4203166666666664
I Hope You Find Your Way Home,"Tyler, The Creator",80,-0.20444328065679215,-0.26674921364539395,4,0.593880492813064,0.1668575578466002,-0.3505309447651856,269704,850000,4.495066666666666
ALL RED,Playboi Carti,82,0.7215965270465295,0.11553726944040965,9,0.4837373047669755,-0.5630985851203574,0.9593423073616766,148053,830000,2.46755
TORE UP,Don Toliver,83,-0.784050930082612,1.0056371405058615,11,0.5994809939001532,-0.988446002481644,-0.5190526497171797,126987,780000,2.11645
Wind Up Missin’ You,Tucker Wetmore,78,-0.5375511251543902,0.4236487632707582,6,0.20531239358025313,1.0112392583597296,-0.5190526497171797,166667,890000,2.7777833333333333
EL LOKERON,Tito Double P,89,0.481758879008259,0.26388724795131785,7,-0.15925355813646072,1.26771033561839,-0.6707221841739742,146141,810000,2.4356833333333334
Sharpest Tool,Sabrina Carpenter,81,0.4284616238886433,-0.07275308790035928,4,-0.24859488500193194,0.8810308652899479,-0.6546360214285567,218284,810000,3.6380666666666666
I'll Be There,Jin,89,-0.757402302522804,0.5434698997603384,10,1.1107267359930137,-0.8546864714190501,-0.6891063701687372,181678,890000,3.0279666666666665
Disease,Lady Gaga,86,-0.5975105371639571,1.5648024441239026,11,1.0157849080404533,-0.79076598754843,2.3611364894623534,229997,720000,3.833283333333333
Apple,Charli xcx,84,1.0147314302044157,1.793033180294531,0,0.2999875310048571,-0.4999672430259177,-0.5037324947215438,151740,810000,2.529
Miles On It,Marshmello,81,-0.11783524108741668,0.67470257305845,5,0.48667090057449847,-0.9719923964482807,2.8284012168292465,168454,830000,2.8075666666666668
on one tonight,Gunna,81,1.5676904520704278,0.48070644731341544,4,0.6024145897076761,0.5101342304851155,0.2546151775624291,90760,820000,1.5126666666666666
Juna,Clairo,80,-0.30437563400607154,0.406531458057961,3,0.08876863286320578,-0.054102139483938286,-0.5650131147040871,195110,800000,3.2518333333333334
