track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,streaming_count
5jFA0f4ZDGLbQP4nxzL8D4,HAY LUPITA,Lomiiel,79,0.845,0.583,0,-3.455,1,0.287,0.00204,0.000459,0.11,0.903,145.078,105836,4,720000
1TgStpMGTflN84asKJ8VU3,U My Everything (feat. Drake),Sexyy Red,70,0.624,0.796,6,-5.413,0,0.169,0.0541,0,0.258,0.704,145.212,225133,4,690000
3JzVK0f8gqAAjyEDyXAys4,Sandpaper (feat. Bruce Springsteen),Zach Bryan,70,0.518,0.526,4,-8.467,1,0.0407,0.213,0.000168,0.0853,0.195,86.845,216253,4,710000
7uGYWMwRy24dm7RUDDhUlD,My Boy Only Breaks His Favorite Toys,Taylor Swift,74,0.596,0.563,0,-7.362,1,0.0269,0.137,0,0.302,0.481,97.073,203801,4,380000
1fTjqf10accJCDYstPwwZ6,Ohnana,Kapo,84,0.775,0.581,1,-3.621,0,0.108,0.617,8.33E-06,0.0957,0.658,104.977,156577,4,600000
7Mg5CBO37Rifk2RyDJ8fzd,Boogieman,EBK Jaaybo,69,0.759,0.546,5,-8.159,0,0.484,0.675,0,0.591,0.651,90.059,131292,3,690000
5xMjhZKSo8yh5r9b5vrYRr,Tailor Swif,A$AP Rocky,74,0.824,0.527,8,-5.506,1,0.118,0.149,0,0.368,0.212,77.499,155391,4,730000
2CIXO1jQbrV1hlfI7FUKld,Wrong Ones (Feat. Tim McGraw),Post Malone,71,0.476,0.797,0,-3.867,1,0.0332,0.00552,0,0.142,0.601,80.946,195823,4,690000
6b6qi0ObycTK8hdrkgU21Y,CHINO,Tito Double P,77,0.742,0.562,5,-11.872,0,0.0806,0.104,9.70E-05,0.0768,0.545,139.985,177034,3,700000
3YkNIrAvbKNrrwwEd7NVLl,loml,Taylor Swift,74,0.423,0.272,0,-12.56,1,0.0489,0.858,0,0.108,0.195,78.539,277157,3,800000
